userId,movieId,rating
1,17,1.5
1,35,2.0
1,41,2.5
1,18,1.0
1,32,2.0
1,8,2.5
1,34,2.5
1,31,2.5
1,5,1.5
1,46,2.5
1,42,2.0
1,16,1.5
1,20,2.0
1,10,1.5
1,45,3.0
2,33,2.5
2,15,2.0
2,41,2.5
2,42,2.0
2,38,1.0
2,20,1.5
2,31,1.0
2,18,3.5
2,6,3.0
2,36,2.5
2,47,1.5
2,13,1.0
2,9,3.0
2,1,3.0
2,19,1.0
3,12,2.5
3,47,3.5
3,7,1.0
3,15,1.5
3,22,1.5
3,4,3.0
3,28,1.5
3,41,1.0
3,6,2.0
3,3,2.0
3,10,1.5
3,42,1.5
4,37,1.5
4,40,2.0
4,12,2.0
4,38,3.0
4,39,1.0
4,18,2.5
4,15,1.5
4,13,1.5
4,2,2.5
4,3,1.5
4,10,1.5
5,3,1.5
5,48,1.0
5,46,1.5
5,2,3.0
5,15,3.0
5,42,1.0
5,44,1.5
5,40,2.5
5,39,2.5
5,37,1.5
5,8,2.0
6,27,1.0
6,24,3.0
6,21,2.5
6,28,3.0
6,43,3.0
6,23,2.5
6,26,2.0
6,8,1.5
6,22,2.5
6,25,2.0
6,44,1.5
6,37,2.5
6,30,3.0
7,32,1.0
7,24,3.0
7,46,2.0
7,2,1.0
7,23,1.5
7,18,2.5
7,35,2.0
7,22,2.5
7,15,2.5
7,31,3.0
7,47,2.0
7,4,3.0
7,10,3.0
7,3,2.0
7,29,2.5
7,21,2.0
7,5,2.5
7,34,2.0
8,23,3.0
8,11,2.0
8,36,2.5
8,24,1.0
8,8,1.5
8,25,3.0
8,27,1.0
8,37,1.5
8,30,1.5
8,40,2.0
8,28,1.5
8,26,3.0
8,39,1.5
8,38,3.0
8,20,1.5
8,21,2.5
9,35,2.0
9,8,3.5
9,11,2.5
9,15,2.0
9,20,3.0
9,48,2.0
9,3,2.0
9,12,1.5
9,10,3.5
9,46,1.5
9,18,2.0
9,2,3.0
9,16,2.5
